Code,Park Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average
ABLI,Abraham Lincoln Birthplace NHP,"163,568","169,515","163,928","241,264","148,605","252,495","269,580","260,964","238,226","228,141","213,629"
ACAD,Acadia NP,"2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,669,034","2,889,149"
ADAM,Adams NHP,"219,975","336,031","285,501","178,468","183,632","199,301","255,562","121,007","187,400","6,937","197,381"
AFBG,African Burial Ground NM,"108,585","77,624","93,234","54,861","56,348","46,526","43,182","45,035","47,427","7,908","58,073"
AGFO,Agate Fossil Beds NM,"11,617","11,824","10,504","12,440","13,264","15,555","32,038","16,238","16,657","8,722","14,886"
ALFL,Alibates Flint Quarries NM,"3,214","3,383","1,555","4,513","9,492","8,153","6,613","7,415","8,847","4,269","5,745"
ALPO,Allegheny Portage Railroad NHS,"118,410","138,864","107,977","172,883","168,433","189,371","201,837","189,047","189,189","136,029","161,204"
AMIS,Amistad NRA,"1,436,759","1,367,502","1,025,151","1,130,096","1,250,051","1,164,530","1,221,635","1,111,770","1,267,900","1,424,139","1,239,953"
ANDE,Andersonville NHS,"108,812","122,883","98,771","127,189","136,686","134,216","132,149","138,164","103,635","63,799","116,630"
ANJO,Andrew Johnson NHS,"52,322","51,261","42,929","42,863","45,357","45,937","53,998","50,671","51,189","46,092","48,262"
ANIA,Aniakchak NM & PRES,57,19,134,134,153,100,100,100,100,36,93
ANTI,Antietam NB,"384,987","510,921","370,832","337,079","347,180","351,911","366,508","326,197","287,343","85,884","336,884"
APIS,Apostle Islands NL,"176,040","163,419","148,556","290,059","232,662","183,796","203,421","252,920","240,613","219,009","211,050"
APCO,Appomattox Court House NHP,"258,917","320,668","317,660","278,776","412,640","303,139","113,960","103,044","102,397","57,513","226,871"
ARCH,Arches NP,"1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718","1,539,028","1,663,557","1,659,702","1,238,083","1,356,430"
ARPO,Arkansas Post NMEM,"37,127","39,703","36,420","30,860","38,702","34,405","36,079","30,126","28,519","29,653","34,159"
ARHO,Arlington House The R.E. Lee MEM,"576,816","562,772","586,531","671,638","532,050","1,057,500","726,059","49,500",0,0,"476,287"
ASIS,Assateague Island NS,"2,105,419","2,154,859","2,056,828","2,170,681","2,275,606","2,267,821","2,347,167","2,136,889","2,344,536","2,481,660","2,234,147"
AZRU,Aztec Ruins NM,"41,106","44,744","41,312","44,721","53,165","57,692","52,756","54,933","63,777","30,223","48,443"
BADL,Badlands NP,"870,741","883,406","892,372","868,094","989,354","996,263","1,054,325","1,008,942","970,998","916,932","945,143"
BAND,Bandelier NM,"193,914","150,289","126,682","130,106","174,073","198,478","209,141","198,441","200,741","94,948","167,681"
BEPA,Belmont-Paul Women's Equality NM,,,,,,"2,704","10,893","9,081","9,913","2,535","7,025"
BEOL,Bent's Old Fort NHS,"26,842","25,815","23,324","24,555","26,219","31,948","26,397","23,562","21,674","12,438","24,277"
BELA,Bering Land Bridge NPRES,"1,890","2,642","2,642","2,636","2,642","2,642","2,642","2,642","2,642","2,642","2,566"
BIBE,Big Bend NP,"361,862","292,055","316,953","314,102","381,747","388,290","440,276","440,091","463,832","393,907","379,312"
BICY,Big Cypress NPRES,"941,393","882,570","1,007,788","1,192,856","1,112,290","1,102,148","922,883","794,350","1,007,471","1,181,930","1,014,568"
BIHO,Big Hole NB,"36,290","35,207","38,092","36,987","39,549","41,795","36,717","56,943","45,861","36,234","40,368"
BISO,Big South Fork NRRA,"606,579","600,161","565,063","599,906","643,135","684,715","761,200","760,906","750,494","772,625","674,478"
BITH,Big Thicket NPRES,"137,722","135,262","120,108","109,956","125,832","192,809","170,649","221,514","255,926","309,053","177,883"
BICA,Bighorn Canyon NRA,"201,010","245,831","241,527","224,083","245,173","259,485","231,836","235,570","249,659","212,295","234,647"
BISC,Biscayne NP,"476,077","495,613","486,848","525,745","508,164","514,709","446,961","469,253","708,522","402,770","503,466"
BLCA,Black Canyon of the Gunnison NP,"168,336","192,570","175,852","183,045","209,166","238,018","307,143","308,962","432,818","341,620","255,753"
BLRI,Blue Ridge PKWY,"15,382,447","15,205,059","12,877,368","13,941,749","15,054,603","15,175,578","16,093,765","14,690,418","14,976,085","14,099,485","14,749,656"
BLUE,Bluestone NSR,"41,670","36,842","36,266","38,450","36,733","34,139","32,028","31,316","37,663","25,207","35,031"
BOWA,Booker T. Washington NM,"24,030","24,361","22,103","26,127","27,205","23,440","25,479","22,732","24,640","22,482","24,260"
BOAF,Boston African American NHS,"379,906","404,248","386,084","408,641","412,377","414,170","413,151","410,893","419,585","89,616","373,867"
BOHA,Boston Harbor Islands NRA,,,,,,,,,,"71,991","71,991"
BOST,Boston NHP,"2,546,156","2,629,064","2,245,875","2,476,078","2,262,841","2,594,495","3,425,606","3,053,241","3,201,834","277,170","2,471,236"
BRVB,Brown v. Board of Education NHS,"16,886","21,101","19,356","26,868","25,338","27,968","25,204","24,083","21,413","4,064","21,228"
BRCA,Bryce Canyon NP,"1,296,000","1,385,352","1,311,875","1,435,741","1,745,804","2,365,110","2,571,684","2,679,478","2,594,904","1,464,655","1,885,060"
BUIS,Buck Island Reef NM,"28,223","30,436","28,972","34,400","41,936","38,929","33,082","31,411","37,085","16,032","32,051"
BUFF,Buffalo NR,"1,169,802","1,093,083","1,125,227","1,357,057","1,463,304","1,785,359","1,471,330","1,240,119","1,326,282","1,478,846","1,351,041"
CABR,Cabrillo NM,"813,351","877,951","856,128","893,434","981,825","959,145","997,903","842,104","761,485","523,878","850,720"
CANA,Canaveral NS,"1,005,001","994,430","1,133,688","1,451,225","1,689,754","1,629,944","1,598,586","1,657,855","1,884,122","1,162,950","1,420,756"
CARI,Cane River Creole NHP,"26,996","28,310","25,556","28,981","30,882","26,863","30,117","26,879","29,922","17,430","27,194"
CACH,Canyon de Chelly NM,"828,145","828,523","828,478","827,761","813,686","821,406","825,660","439,306","460,757","76,752","675,047"
CANY,Canyonlands NP,"473,773","452,952","462,242","542,431","634,607","776,218","742,271","739,449","733,996","493,914","605,185"
CACO,Cape Cod NS,"4,454,771","4,441,290","4,501,898","4,426,750","4,503,220","4,692,796","4,125,418","3,926,462","4,096,104","4,083,505","4,325,221"
CAHA,Cape Hatteras NS,"1,960,711","2,302,040","2,214,565","2,153,350","2,274,635","2,411,711","2,433,703","2,591,056","2,606,632","2,648,522","2,359,693"
CAKR,Cape Krusenstern NM,"8,668","24,950","18,225",0,0,"15,000","15,000","15,087","16,226","11,369","12,453"
CALO,Cape Lookout NS,"508,116","480,294","416,568","430,927","400,413","458,000","399,357","408,399","455,526","488,331","444,593"
CARE,Capitol Reef NP,"668,834","673,345","663,670","786,514","941,029","1,064,904","1,150,165","1,227,627","1,226,519","981,038","938,365"
CAVO,Capulin Volcano NM,"46,358","48,710","48,466","50,892","55,506","60,132","59,615","67,411","81,617","63,335","58,204"
CARL,Carl Sandburg Home NHS,"89,721","93,429","81,710","82,377","72,606","80,696","72,777","72,047","78,144","42,672","76,618"
CAVE,Carlsbad Caverns NP,"365,000","381,058","388,566","397,309","445,720","466,773","520,026","465,912","440,691","183,835","405,489"
CAWO,Carter G. Woodson Home NHS,,,,,,,"1,884","1,954","2,381",548,"1,692"
CAGR,Casa Grande Ruins NM,"72,308","68,631","65,106","63,698","72,606","75,752","75,583","62,995","68,379","44,269","66,933"
CASA,Castillo de San Marcos NM,"741,042","727,243","778,128","760,708","819,154","854,664","876,975","748,058","673,395","251,061","723,043"
CACL,Castle Clinton NM,"3,985,366","3,264,439","2,180,694","4,727,110","4,597,029","4,812,930","4,737,113","4,533,564","4,361,034","633,793","3,783,307"
CATO,Catoctin Mountain Park,"264,460","263,797","175,213","188,170","229,301","221,750","236,243","299,860","296,846","539,983","271,562"
CEBR,Cedar Breaks NM,"493,147","631,809","466,450","762,907","793,601","899,676","909,199","644,515","579,861","845,867","702,703"
CECH,Cesar E. Chavez NM,,,"8,157","8,854","10,648","17,216","15,472","12,769","16,490","5,668","11,909"
CHCU,Chaco Culture NHP,"39,175","39,044","29,917","38,386","38,914","54,084","55,334","57,781","47,342","8,231","40,821"
CHAM,Chamizal NMEM,"113,817","104,148","121,937","108,399","122,431","147,937","86,400","66,479","38,228","19,180","92,896"
CHIS,Channel Islands NP,"242,756","249,594","212,029","342,161","324,816","364,807","383,687","366,250","409,630","167,290","306,302"
CHPI,Charles Pinckney NHS,"45,254","44,314","47,309","53,486","46,995","53,184","53,744","34,354","35,495","23,723","43,786"
CHYO,Charles Young Buffalo Soldiers NM,,,,,"3,993","10,211","12,405","31,448","14,106","2,461","12,437"
CHAT,Chattahoochee River NRA,"3,161,297","3,168,137","3,039,892","3,119,160","3,173,204","2,736,385","2,768,499","2,873,866","3,393,133","3,066,877","3,050,045"
CHOH,Chesapeake & Ohio Canal NHP,"3,937,504","4,712,377","4,941,367","5,066,219","4,798,312","4,813,078","4,859,573","4,438,818","5,116,787","4,888,436","4,757,247"
CHCH,Chickamauga & Chattanooga NMP,"1,036,699","1,032,844","905,984","996,694","1,002,373","1,027,738","994,537","945,962","977,158","678,414","959,840"
CHIC,Chickasaw NRA,"1,212,139","1,487,039","1,099,669","1,152,083","1,254,105","1,676,421","1,533,684","1,477,906","1,422,612","1,348,122","1,366,378"
CHIR,Chiricahua NM,"37,037","41,159","40,646","45,125","56,960","51,277","63,132","60,577","60,655","44,794","50,136"
CHRI,Christiansted NHS,"119,335","126,962","118,638","109,159","116,817","115,446","96,779","107,494","103,594","23,816","103,804"
CIRO,City of Rocks NRES,"95,764","98,996","94,906","94,825","105,289","107,865","130,276","142,250","99,311","110,203","107,969"
CLBA,Clara Barton NHS,"15,620","25,347","22,737","20,028","2,823",0,0,425,"4,100",450,"9,153"
COLO,Colonial NHP,"3,414,577","3,274,187","3,168,731","3,335,060","3,343,909","3,352,656","3,333,448","3,294,224","3,327,268","2,946,594","3,279,065"
COLM,Colorado NM,"435,460","454,510","409,351","416,862","588,006","391,075","375,035","375,467","397,032","435,625","427,842"
CONG,Congaree NP,"120,166","109,685","120,340","120,122","87,513","143,843","159,595","145,929","159,445","119,306","128,594"
CORO,Coronado NMEM,"153,042","97,579","92,936","118,838","132,584","136,075","131,614","103,218","130,328","156,199","125,241"
COWP,Cowpens NB,"223,923","231,973","216,239","200,836","206,740","213,299","212,692","189,410","223,413","226,903","214,543"
CRLA,Crater Lake NP,"423,551","447,251","523,027","535,508","614,712","756,344","711,749","720,659","704,512","670,500","610,781"
CRMO,Craters of the Moon NM & PRES,"198,545","197,529","200,525","214,993","246,826","255,436","285,227","263,506","272,224","250,872","238,568"
CUGA,Cumberland Gap NHP,"828,947","853,998","768,363","879,934","840,601","820,387","737,547","684,191","704,598","735,447","785,401"
CUIS,Cumberland Island NS,"74,279","61,493","51,435","61,401","59,859","61,896","51,937","55,650","53,904","37,295","56,915"
CURE,Curecanti NRA,"924,468","862,612","814,163","931,367","944,742","982,498","1,041,446","931,512","836,034","921,584","919,043"
CUVA,Cuyahoga Valley NP,"2,161,185","2,299,722","2,103,010","2,189,849","2,284,612","2,423,390","2,226,879","2,096,053","2,237,997","2,755,628","2,277,833"
DAAV,Dayton Aviation Heritage NHP,"68,048","65,999","59,274","57,565","73,588","95,334","99,700","93,541","94,709","39,851","74,761"
DESO,De Soto NMEM,"355,653","432,981","279,924","342,039","293,647","232,463","233,354","210,993","187,880","196,114","276,505"
DEVA,Death Valley NP,"946,867","984,568","951,972","1,101,312","1,154,843","1,296,283","1,294,827","1,678,660","1,740,945","820,023","1,197,030"
DEWA,Delaware Water Gap NRA,"4,986,700","4,970,802","4,843,350","4,041,672","3,735,134","3,677,744","3,400,944","3,261,921","3,374,865","4,068,529","4,036,166"
DENA,Denali NP & PRES,"406,582","388,433","530,922","531,315","560,757","587,412","642,809","594,660","601,152","54,850","489,889"
DEPO,Devils Postpile NM,"97,207","87,845","91,794","114,414","140,313","135,404","109,571","139,724","147,864","108,590","117,273"
DETO,Devils Tower NM,"395,203","416,994","417,326","440,875","478,833","496,210","499,031","468,216","450,785","423,997","448,747"
DINO,Dinosaur NM,"213,559","302,858","274,361","250,625","291,799","304,312","315,859","304,468","298,965","264,145","282,095"
DRTO,Dry Tortugas NP,"75,171","60,550","58,401","64,865","70,862","73,661","54,281","56,810","79,200","48,543","64,234"
DDEM,Dwight D. Eisenhower MEM,,,,,,,,,,"187,328","187,328"
EDAL,Edgar Allan Poe NHS,"14,711","19,104","5,884","13,701","13,862","14,827","14,878","16,314","15,527","2,418","13,123"
EFMO,Effigy Mounds NM,"82,581","78,540","71,074","77,812","81,901","77,195","67,006","55,576","65,581","18,225","67,549"
EISE,Eisenhower NHS,"58,022","53,286","59,179","58,240","54,377","55,550","50,597","42,036","47,277","7,926","48,649"
ELMA,El Malpais NM,"105,356","114,678","137,904","164,063","174,433","157,440","161,526","154,368","158,924","139,336","146,803"
ELMO,El Morro NM,"48,332","44,808","40,051","46,256","49,390","59,422","59,013","65,453","68,867","36,328","51,792"
ELRO,Eleanor Roosevelt NHS,"50,074","55,049","43,686","60,456","64,791","63,480","67,621","54,649","47,630","9,575","51,701"
EUON,Eugene O'Neill NHS,"2,593","2,789","2,929","3,202","3,942","4,287","3,931","3,432","2,944","14,423","4,447"
EVER,Everglades NP,"934,351","1,141,906","1,047,116","1,110,901","1,077,427","930,907","1,018,557","597,124","1,118,300","702,319","967,891"
FEHA,Federal Hall NMEM,"187,109","167,146","148,647","137,538","172,038","314,531","325,497","230,634","264,849","13,822","196,181"
FIIS,Fire Island NS,"519,173","483,334","294,219","384,343","441,899","431,303","456,392","305,710","391,311","250,449","395,813"
FILA,First Ladies NHS,"8,254","9,903","10,068","15,326","12,897","13,378","13,085","11,447","10,913","2,406","10,768"
FLNI,Flight 93 NMEM,"265,246","317,926","265,924","284,226","337,217","385,123","364,082","381,448","411,226","244,364","325,678"
FLFO,Florissant Fossil Beds NM,"61,289","62,637","58,032","63,297","69,130","73,564","71,763","79,568","77,340","61,081","67,770"
FOTH,Ford's Theatre NHS,"642,786","701,542","665,876","655,441","681,537","650,779","744,266","533,410","572,373","56,058","590,407"
FOBO,Fort Bowie NHS,"8,429","7,966","8,082","6,964","7,760","8,013","8,491","8,401","7,577","6,456","7,814"
FOCA,Fort Caroline NMEM,"326,149","327,339","307,086","187,843","224,418","232,082","243,960","203,276","187,658","404,476","264,429"
FODA,Fort Davis NHS,"35,130","38,136","43,277","49,842","55,955","61,823","60,910","49,532","51,995","35,920","48,252"
FODO,Fort Donelson NB,"257,389","284,762","247,734","262,317","260,744","259,343","208,816","168,986","254,431","325,496","253,002"
FOFR,Fort Frederica NM,"293,041","262,235","217,580","228,103","202,191","192,906","188,089","183,591","212,330","210,892","219,096"
FOLA,Fort Laramie NHS,"52,916","55,199","54,057","49,038","51,616","57,444","61,513","52,414","42,892","26,066","50,316"
FOLS,Fort Larned NHS,"26,704","33,194","27,432","24,607","32,170","31,060","29,188","29,173","26,958","21,895","28,238"
FOMA,Fort Matanzas NM,"570,695","497,574","523,694","568,529","622,175","557,810","578,981","608,103","593,788","543,590","566,494"
FOMC,Fort McHenry NM & HS,"641,254","744,076","678,431","769,300","617,890","610,987","591,861","486,113","419,545","163,224","572,268"
FONE,Fort Necessity NB,"193,479","187,893","165,159","219,546","280,705","290,021","294,145","280,970","312,104","199,801","242,382"
FOPO,Fort Point NHS,"1,338,508","1,502,786","1,591,312","1,677,457","1,610,466","2,264,154","1,532,541","1,400,491","1,421,349","884,538","1,522,360"
FOPU,Fort Pulaski NM,"408,104","385,751","374,408","387,010","382,945","344,921","360,591","419,930","374,290","357,970","379,592"
FORA,Fort Raleigh NHS,"282,134","281,833","263,598","264,987","289,885","292,367","274,981","261,198","248,139","153,519","261,264"
FOSC,Fort Scott NHS,"26,219","25,034","25,773","25,966","25,531","29,291","28,948","26,482","24,068","14,652","25,196"
FOSM,Fort Smith NHS,"86,122","87,386","69,584","88,790","111,469","163,636","141,914","136,568","125,500","67,574","107,854"
FOST,Fort Stanwix NM,"102,874","195,057","129,089","60,819","86,678","94,006","106,936","90,507","97,412","24,134","98,751"
FOSU,Fort Sumter and Fort Moultrie NHP,"857,883","842,027","815,007","828,521","840,711","888,330","896,569","859,880","877,894","365,133","807,196"
FOUN,Fort Union NM,"9,575","9,215","8,965","10,934","11,726","11,953","11,676","10,860","11,063","5,334","10,130"
FOUS,Fort Union Trading Post NHS,"12,236","12,677","12,908","11,521","13,605","17,502","13,329","13,551","12,967","5,225","12,552"
FOVA,Fort Vancouver NHS,"710,439","681,404","733,540","803,740","818,672","1,092,031","1,081,489","1,098,553","1,018,214","670,111","870,819"
FOWA,Fort Washington Park,"409,381","368,824","443,918","466,078","337,433","560,358","317,470","316,052","423,868","160,289","380,367"
FOBU,Fossil Butte NM,"16,552","17,084","17,662","16,623","19,293","20,737","21,978","21,349","20,554","13,176","18,501"
FRDE,Franklin Delano Roosevelt MEM,"2,309,708","2,764,459","2,837,729","2,938,239","3,290,080","4,360,502","3,507,402","3,288,299","3,303,573","1,010,986","2,961,098"
FRDO,Frederick Douglass NHS,"46,694","53,314","47,625","45,492","53,873","67,387","76,569","70,869","61,063","10,969","53,386"
FRLA,Frederick Law Olmsted NHS,"4,022","8,668","6,570","8,667","9,473","8,935","11,388","9,854","7,791","2,570","7,794"
FRSP,Fredericksburg & Spotsylvania NMP,"908,836","982,324","880,251","873,328","891,917","969,895","919,311","926,464","906,800","838,835","909,796"
FRHI,Friendship Hill NHS,"30,039","34,289","34,372","34,317","34,687","37,847","39,377","41,678","34,159","19,462","34,023"
GAAR,Gates of the Arctic NP & PRES,"11,623","10,899","11,012","12,669","10,745","10,047","11,177","9,591","10,518","2,872","10,115"
JEFF,Gateway Arch NP,"2,259,020","2,496,726","2,377,258","1,817,091","1,698,656","1,271,855","1,398,188","2,016,180","2,055,309","486,021","1,787,630"
GATE,Gateway NRA,"7,697,727","5,043,863","6,191,246","6,021,713","6,392,565","8,651,770","9,190,610","9,243,305","9,405,622","8,404,728","7,624,315"
GARI,Gauley River NRA,"109,780","115,283","135,309","117,354","105,374","115,888","118,733","97,778","119,282","109,378","114,416"
GEGR,General Grant NMEM,"104,769","92,418","83,440","100,622","95,526","109,151","97,005","73,336","113,852","24,475","89,459"
GERO,George Rogers Clark NHP,"145,596","125,972","128,531","125,218","135,856","126,095","117,268","121,187","140,130","56,108","122,196"
GEWA,George Washington Birthplace NM,"130,647","134,824","131,683","131,984","130,952","129,750","122,457","111,058","139,666","41,970","120,499"
GWCA,George Washington Carver NM,"30,787","30,425","33,061","41,535","37,745","46,397","46,466","44,411","49,553","26,569","38,695"
GWMP,George Washington MEM PKWY,"7,417,397","7,425,577","7,360,392","7,472,150","7,286,463","10,323,339","7,562,793","7,288,623","7,487,265","6,237,361","7,586,136"
GETT,Gettysburg NMP,"1,124,659","1,126,577","1,213,349","1,020,702","1,080,185","1,091,320","1,038,649","949,989","925,117","536,553","1,010,710"
GICL,Gila Cliff Dwellings NM,"25,317","28,637","27,825","31,135","36,518","41,519","78,872","79,108","66,614","31,645","44,719"
GLBA,Glacier Bay NP & PRES,"431,986","454,337","500,590","500,727","551,353","520,171","547,057","597,915","672,087","5,748","478,197"
GLAC,Glacier NP,"1,853,564","2,162,035","2,190,374","2,338,528","2,366,056","2,946,681","3,305,512","2,965,309","3,049,839","1,698,864","2,487,676"
GLCA,Glen Canyon NRA,"2,270,817","2,061,328","1,991,924","2,368,452","2,495,093","3,239,525","4,574,940","4,219,441","4,330,563","2,553,392","3,010,548"
GOGA,Golden Gate NRA,"14,567,487","14,540,338","14,289,121","15,004,420","14,888,537","15,638,777","14,981,897","15,223,697","15,002,227","12,400,045","14,653,655"
GOSP,Golden Spike NHP,"43,933","42,551","40,704","44,125","59,147","60,027","67,811","60,130","108,154","53,106","57,969"
GOIS,Governors Island NM,"402,174","348,249","355,553","698,227","438,613","522,859","625,653","589,798","590,993","102,915","467,503"
GRCA,Grand Canyon NP,"4,298,178","4,421,352","4,564,840","4,756,771","5,520,736","5,969,811","6,254,238","6,380,495","5,974,411","2,897,098","5,103,793"
GRPO,Grand Portage NM,"97,440","93,156","88,598","88,877","91,751","95,862","96,051","94,137","94,985","66,426","90,728"
GRTE,Grand Teton NP,"2,587,437","2,705,256","2,688,794","2,791,392","3,149,921","3,270,076","3,317,000","3,491,151","3,405,614","3,289,638","3,069,628"
GRKO,Grant-Kohrs Ranch NHS,"20,293","17,095","18,848","20,565","22,139","23,176","24,072","26,676","25,043","15,328","21,324"
GRBA,Great Basin NP,"91,451","94,850","92,893","107,526","116,123","144,846","168,028","153,094","131,802","120,248","122,086"
GRSA,Great Sand Dunes NP & PRES,"280,058","254,674","242,841","271,774","299,513","388,308","486,935","442,905","527,546","461,532","365,609"
GRSM,Great Smoky Mountains NP,"9,008,830","9,685,829","9,354,695","10,099,276","10,712,674","11,312,786","11,338,893","11,421,200","12,547,743","12,095,720","10,757,765"
GREE,Greenbelt Park,"190,427","145,552","142,742","132,688","135,260","137,900","141,856","85,260","128,702","28,319","126,871"
GUMO,Guadalupe Mountains NP,"152,546","159,360","145,670","166,868","169,535","181,839","225,257","172,347","188,833","151,256","171,351"
GUCO,Guilford Courthouse NMP,"346,617","313,374","541,581","173,261","222,602","321,796","348,991","236,016","223,900","186,020","291,416"
GUIS,Gulf Islands NS,"5,501,872","4,973,462","4,837,965","4,455,240","3,976,883","4,771,309","3,952,941","4,229,968","5,600,240","4,012,129","4,631,201"
HAFO,Hagerman Fossil Beds NM,"21,100","23,936","21,008","22,482","24,695","25,982","31,122","26,477","23,768","14,113","23,468"
HALE,Haleakala NP,"956,989","1,094,668","785,300","1,142,040","1,216,772","1,263,558","1,112,390","1,044,084","994,394","319,147","992,934"
HAGR,Hamilton Grange NMEM,"7,817","16,358","20,429","20,943","35,446","85,348","85,603","66,216","71,247","23,015","43,242"
HAMP,Hampton NHS,"32,165","37,529","32,262","32,498","34,685","34,942","32,327","29,615","28,234","8,728","30,299"
HAFE,Harpers Ferry NHP,"255,348","263,105","255,714","261,202","282,893","335,691","342,535","265,737","299,577","234,473","279,628"
HSTR,Harry S Truman NHS,"28,924","31,316","28,977","29,364","32,825","34,616","45,435","32,878","30,746","9,446","30,453"
HAVO,Hawaii Volcanoes NP,"1,352,123","1,483,928","1,583,209","1,693,005","1,832,660","1,887,580","2,016,702","1,116,891","1,368,376","589,775","1,492,425"
HEHO,Herbert Hoover NHS,"134,249","128,812","128,919","139,086","127,154","152,382","144,619","138,087","125,688","56,270","127,527"
HOFR,Home of Franklin D. Roosevelt NHS,"125,488","135,746","147,218","179,340","180,405","193,272","185,743","154,000","147,109","40,091","148,841"
HOME,Homestead NM of America,"69,845","103,708","67,396","69,156","78,739","87,755","123,400","68,091","61,636","40,897","77,062"
HOCU,Hopewell Culture NHP,"33,834","39,462","32,206","36,432","43,587","58,058","62,413","57,335","60,338","35,710","45,938"
HOFU,Hopewell Furnace NHS,"44,873","52,870","46,138","48,105","51,252","54,167","49,306","46,407","49,861","34,288","47,727"
HOBE,Horseshoe Bend NMP,"65,892","58,668","55,965","64,359","89,282","83,370","74,255","48,491","45,372","28,600","61,425"
HOSP,Hot Springs NP,"1,396,354","1,302,505","1,325,719","1,424,484","1,418,162","1,544,300","1,561,616","1,506,887","1,467,153","1,348,215","1,429,540"
HOVE,Hovenweep NM,"25,858","26,710","24,959","26,808","35,117","42,862","39,970","40,574","35,399","19,856","31,811"
HUTR,Hubbell Trading Post NHS,"88,231","75,061","75,678","81,475","66,324","67,276","45,800","39,361","50,285","11,407","60,090"
INDE,Independence NHP,"3,572,770","3,594,549","3,553,070","3,648,050","4,311,582","5,067,510","4,790,758","4,576,456","4,532,459","907,090","3,855,429"
INDU,Indiana Dunes NP,"1,840,513","1,889,381","1,681,695","1,553,372","1,640,195","1,698,223","2,158,471","1,756,079","2,134,285","2,293,106","1,864,532"
ISRO,Isle Royale NP,"15,892","16,663","16,274","14,560","18,684","24,966","28,196","25,798","26,410","6,493","19,394"
JAGA,James A. Garfield NHS,"31,499","36,375","21,027","17,956","24,506","45,437","53,536","40,835","41,305","14,797","32,727"
JELA,Jean Lafitte NHP & PRES,"420,366","419,694","400,128","445,524","405,618","438,420","456,666","529,878","590,329","192,601","429,922"
JECA,Jewel Cave NM,"77,146","109,300","98,259","104,348","116,444","137,275","144,537","142,356","123,489","35,878","108,903"
JICA,Jimmy Carter NHS,"66,157","69,940","67,455","62,057","67,797","66,441","60,735","51,680","50,789","14,267","57,732"
JODR,"John D. Rockefeller, Jr. MEM PKWY","1,147,986","1,197,750","1,228,502","1,264,842","1,430,337","1,411,819","1,433,292","1,504,561","1,426,666","1,373,817","1,341,957"
