,Code,Name,Latitude,Longitude
4,AGFO,Agate Fossil Beds National Monument,42.421703, -103.75388
7,ALFL,Alibates Flint Quarries National Monument,35.575045, -101.683787
18,APCO,Appomattox Court House National Historical Park,37.3775, -78.796
21,ARHO,"Arlington House, The Robert E. Lee Memorial",38.882153, -77.073524
26,BEPA,Belmont-Paul Women's Equality National Monument,38.891944, -77.003611
31,BIHO,Big Hole National Battlefield,45.6375, -113.643611
35,BICR,Birmingham Civil Rights National Monument,33.515278, -86.814722
39,BLUE,Bluestone National Scenic River,37.541667, -80.999167
40,BOWA,Booker T. Washington National Monument,37.123333, -79.765833
41,BOAF,Boston African American National Historic Site,42.36, -71.064722
47,BUIS,Buck Island Reef National Monument,17.78694, -64.61916
50,CANE,Camp Nelson National Monument,37.787778, -84.598056
55,CACO,Cape Cod National Seashore,41.837222, -69.972778
64,CAWO,Carter G. Woodson National Historic Site,38.91, -77.024167
68,CAMO,Castle Mountains National Monument,35.25, -115.11
71,CEBE,Cedar Creek and Belle Grove National Historical Park,39.1675, -78.300833
72,CECH,Cesar E. Chavez National Monument,35.2273, -118.5614
77,CHYO,Charles Young Buffalo Soldiers National Monument,39.707252, -83.890227
83,CHRI,Christiansted National Historic Site,17.746944, -64.702222
86,COLO,Colonial National Historical Park,37.218889, -76.5175
88,CONG,Congaree National Park,33.783333, -80.783333
89,COGA,Constitution Gardens,38.890833, -77.044444
94,CRMP,Craters of the Moon National Preserve,43.46167, -113.56271
99,DAAV,Dayton Aviation Heritage National Historical Park,39.794722, -84.088889
109,DDEM,Dwight D. Eisenhower Memorial,38.887182, -77.018771
110,EBLA,Ebey's Landing National Historical Reserve,48.218333, -122.683611
122,FRST,First State National Historical Park,39.664722, -75.565278
125,FOTH,Ford's Theatre National Historic Site,38.896667, -77.025833
131,FOLA,Fort Laramie National Historic Site,42.209167, -104.535861
134,FOMC,Fort McHenry National Monument and Historic Shrine,39.263056, -76.58
135,FOMR,Fort Monroe National Monument,37.003611, -76.3075
148,FOBU,Fossil Butte National Monument,41.864444, -110.775833
149,FRDE,Franklin Delano Roosevelt Memorial,38.883889, -77.044444
150,FRDO,Frederick Douglass National Historic Site,38.863333, -76.985278
153,FRRI,Freedom Riders National Monument,33.635, -85.908333
159,GARI,Gauley River National Recreation Area,38.22, -80.89
162,GEWA,George Washington Birthplace National Monument,38.185556, -76.916389
164,GWMP,George Washington Memorial Parkway,38.841902,-77.048492
191,HATU,Harriet Tubman Underground Railroad National Historical Park,38.4483, -76.1387
198,HONO,Honouliuli National Historic Site,21.391667, -158.059722
213,JODR,"John D. Rockefeller, Jr., Memorial Parkway",44.104722, -110.692778
221,KAWW,Katahdin Woods And Waters National Monument,45.970362, -68.619336
227,KICA,Kings Canyon National Park,36.78928, -118.67286
232,KOWA,Korean War Veterans Memorial,38.887778, -77.047222
236,LAKE,Lake Mead National Recreation Area,36.009722, -114.796667
237,LAMR,Lake Meredith National Recreation Area,35.714722, -101.552778
238,LARO,Lake Roosevelt National Recreation Area,48.10743, -118.21289
245,LINC,Lincoln Memorial,38.889278, -77.050139
251,LOSA,Lower Saint Croix National Scenic Riverway,45.389167, -92.6575
253,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,38.878611, -77.051389
254,MAWA,Maggie L. Walker National Historic Site,37.547778, -77.438056
257,MAPR,Manhattan Project National Historical Park,35.88094,-106.302632
261,MLKM,"Martin Luther King, Jr., Memorial",38.886111, -77.044167
263,MABE,Mary McLeod Bethune Council House National Historic Site,38.907778, -77.030278
264,MEMY,Medgar and Myrlie Evers Home National Monument,32.34097, -90.21265
266,MISP,Mill Springs Battlefield National Monument,37.068889, -84.736111
280,NATC,Natchez National Historical Park,31.543333, -91.383056
282,NACA,National Capital Parks,38.87857,-76.969522
283,MALL,National Mall,38.89, -77.023611
295,NOCA,North Cascades National Park,48.832778, -121.3475
297,OBRI,Obed Wild and Scenic River,36.075278, -84.649444
299,OLYM,Olympic National Park,47.96935, -123.49856
300,ORCA,Oregon Caves National Monument and Preserve,42.095556, -123.405833
305,PAGR,Paterson Great Falls National Historical Park,40.916111, -74.181667
307,PERL,Pearl Harbor National Memorial,21.339884,-157.970901
309,PAAV,Pennsylvania Avenue National Historic Site,38.893611, -77.023889
311,PETE,Petersburg National Battlefield,37.219444, -77.361389
317,PIPE,Pipestone National Monument,44.013333, -96.325
318,PISC,Piscataway Park,38.678611, -77.092778
322,WICL,President William Jefferson Clinton Birthplace Home National Historic Site,33.667172, -93.596489
323,PRWI,Prince William Forest Park,38.585278, -77.379722
326,PULL,Pullman National Monument,41.697222, -87.609444
328,REER,Reconstruction Era National Historical Park,32.4325, -80.670556
330,RICH,Richmond National Battlefield Park,37.429167, -77.373611
332,RIRA,River Raisin National Battlefield Park,41.913611, -83.378333
333,ROCR,Rock Creek Park,38.9575, -77.045
336,RRBH,Ronald Reagan Boyhood Home National Historic Site,41.836111, -89.480722
338,ROLA,Ross Lake National Recreation Area,48.731667, -121.067222
348,SARI,Salt River Bay National Historical Park and Ecological Preserve,17.778889, -64.758889
351,SAJH,San Juan Island National Historical Park,48.455833, -122.985556
359,SEQU,Sequoia National Park,36.56471, -118.77337
360,SHEN,Shenandoah National Park,38.533333, -78.35
366,STGE,Ste. Geneviève National Historical Park,37.97696, -90.048672
369,STON,Stonewall National Monument,40.733872, -74.002175
375,THIS,Theodore Roosevelt Island National Memorial,38.897222, -77.064167
376,THRO,Theodore Roosevelt National Park,46.966667, -103.45
378,JEFM,Thomas Jefferson Memorial,38.881389, -77.036667
381,TIMU,Timucuan Ecological and Historic Preserve,30.45445, -81.44988
384,TUSK,Tule Springs Fossil Beds National Monument,36.371, -115.306
392,VALL,Valles Caldera National Preserve,35.9, -106.533333
396,VIVE,Vietnam Veterans Memorial,38.891111, -77.047778
397,VICR,Virgin Islands Coral Reef National Monument,18.306111, -64.726944
400,WACO,Waco Mammoth National Monument,31.606, -97.175
403,WAMO,Washington Monument,38.889444, -77.035278
404,WABA,Washita Battlefield National Historic Site,35.6175, -99.700278
407,WHHO,White House,38.8977, -77.0365
409,WHMI,Whitman Mission National Historic Site,46.04, -118.461389
411,WICR,Wilson's Creek National Battlefield,37.115556, -93.42
412,WICA,Wind Cave National Park,43.55635, -103.47865
413,WOTR,Wolf Trap National Park for the Performing Arts,38.936944, -77.261944
415,WWIM,World War I Memorial,38.896111, -77.032778
416,WWII,World War II Memorial,38.8894, -77.040517
